REF + MAQ;Item;Desc. item;Tipo inventario;AREA;Preforma;Ciclo;Maquina;Cavidades;BOT/HORA;UNIDAD DE EMPAQUE;;Centro de trabajo;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 85 G R38;1108;PREFORMA TRANSPARENTE 85 G R38;IN100501  ;INYECCIÓN;85;41,00;;16;1405;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 84 G R48;1106;PREFORMA TRANSPARENTE 84 G R48;IN100501  ;INYECCIÓN;84;41,00;;16;1405;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 8,7 G RC26,7;5315;PREFORMA TRANSPARENTE 8,7 G RC26,7;IN300501  ;INYECCIÓN;;18,00;;48;10800;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 75 G RC33;5507;PREFORMA TRANSPARENTE 75 G RC33;IN300501  ;INYECCIÓN;;50,00;;32;2304;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 72 G R48;1104;PREFORMA TRANSPARENTE 72 G R48;IN100501  ;INYECCIÓN;72;36,00;;16;1600;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 67 G R38;1103;PREFORMA TRANSPARENTE 67 G R38;IN100501  ;INYECCIÓN;67;40,00;;24;2160;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 58 G RC33;1102;PREFORMA TRANSPARENTE 58 G RC33;IN100501  ;INYECCIÓN;58;39,05;;32;2950;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 56 G R28;1101;PREFORMA TRANSPARENTE 56 G R28;IN100501  ;INYECCIÓN;56;42,50;;32;2711;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 520 G R63;1153;PREFORMA TRANSPARENTE 520 G R63;IN100501  ;INYECCIÓN;520;120,00;;6;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 52 G R63;2839;PREFORMA TRANSPARENTE 52 G R63;IN100501  ;INYECCIÓN;52;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 50 G RC33;2215;PREFORMA TRANSPARENTE 50 G RC33;IN100501  ;INYECCIÓN;50;36,00;;32;3200;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 48 G R63;3271;PREFORMA TRANSPARENTE 48 G R63;IN100501  ;INYECCIÓN;48;30,00;;4;480;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 47 G R1881;2216;PREFORMA TRANSPARENTE 47 G R1881;IN100501  ;INYECCIÓN;47;37,00;;32;3114;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 46 G RC33;1100;PREFORMA TRANSPARENTE 46 G RC33;IN100501  ;INYECCIÓN;46;31,60;;32;3646;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 41 G R28;1099;PREFORMA TRANSPARENTE 41 G R28;IN100501  ;INYECCIÓN;41;34,50;;32;3339;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 40,5 G R1881;1097;PREFORMA TRANSPARENTE 40,5 G R1881;IN100501  ;INYECCIÓN;40,5;34,50;;32;3339;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 38 G RC33;2214;PREFORMA TRANSPARENTE 38 G RC33;IN100501  ;INYECCIÓN;38;39,00;;16;1477;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 37 G R28;5471;PREFORMA TRANSPARENTE 37 G R28;IN300501  ;INYECCIÓN;;31,00;;32;3716;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 35,5 G R1881;4102;PREFORMA TRANSPARENTE 35,5 G R1881;IN100501  ;INYECCIÓN;35,5;29,00;;32;3972;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 34 G R45;2117;PREFORMA TRANSPARENTE 34 G R45;IN100501  ;INYECCIÓN;34;38,00;;12;1094;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 31 G R1881;1095;PREFORMA TRANSPARENTE 31 G R1881;IN100501  ;INYECCIÓN;31;28,50;;32;4042;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 28 G R1881;1093;PREFORMA TRANSPARENTE 28 G R1881;IN100501  ;INYECCIÓN;28;27,00;;32;4267;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 26 G R45;2118;PREFORMA TRANSPARENTE 26 G R45;IN100501  ;INYECCIÓN;26;28,00;;12;1543;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 25 G R28;1092;PREFORMA TRANSPARENTE 25 G R28;IN100501  ;INYECCIÓN;25;26,50;;32;4347;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 23,7 G R1881;5068;PREFORMA TRANSPARENTE 23,7 G R1881;IN100501  ;INYECCIÓN;;28,00;;32;4114;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 23,5 G RC26,7;1091;PREFORMA TRANSPARENTE 23,5 G RC26,7;IN100501  ;INYECCIÓN;23,5;25,50;;48;6776;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 21 G R1881;2210;PREFORMA TRANSPARENTE 21 G R1881;IN100501  ;INYECCIÓN;21;23,00;;32;5009;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 20,6 G RS24;1090;PREFORMA TRANSPARENTE 20,6 G RS24;IN100501  ;INYECCIÓN;20,6;28,00;;16;2057;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 19,5 G RC26,7;1149;PREFORMA TRANSPARENTE 19,5 G RC26,7;IN100501  ;INYECCIÓN;19,5;25,50;;48;6776;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 19,2 G RC33;1089;PREFORMA TRANSPARENTE 19,2 G RC33;IN100501  ;INYECCIÓN;19,2;21,00;;32;5486;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PREFORMA TRANSPARENTE 18.5 G R1881*;1085;PREFORMA TRANSPARENTE 18.5 G R1881*;IN100501  ;INYECCIÓN;18,5;21,00;;48;8229;;;;;;;;;;;;;;;;;;;;;;;;;;;;
